interactor_A	interactor_B
K8FDX2	Q19350
Q19350	K8FDY0
Q19350	O01768
P34576	Q19350
Q19350	Q21281
Q19350	P41990
Q19350	Q27874
EBI-11464884	Q19838
Q9NES7	Q19350
Q20010	EBI-11464884
Q21215	EBI-11464884
Q21227	EBI-11468315
Q21227	G5EGD2-2
Q21227	G5ECY0
Q21227	G5EGD2
O44158	Q21227
P91001	Q21227
Q21227	Q22866
Q21227	Q22227
Q21227	Q10929
Q21227	Q8STF6
Q21227	Q5FC73
Q5FC73	Q21227
Q21227	Q9GRZ1
Q21443	EBI-11464884
G5ECG0	Q22227
Q22227	EBI-11464884
EBI-11464884	Q22227
Q22227	Q22227
Q22227	H2FLI6
Q22227	O16393
Q20712	Q22227
Q22227	Q9XUQ4
Q22227	Q94392
Q22227	Q95ZV8
Q9XVW8	Q22227
EBI-11464884	Q22574
Q6BER5-3	EBI-11464884
Q7YWX7	O44411
Q7YWX7	Q18025
Q7YWX7	Q22866
Q93198	P90901-4
H2L0K1	Q93198
O02365	Q93198
Q21036	Q93198
Q93198	Q22095
G5EEK3	Q95ZY7
Q93198	Q22866
Q95ZY7	G5EBP5
H2KYC4	Q95ZY7
Q95ZY7	O44158
Q9XUS7	Q95ZY7
Q20010	Q95ZY7
Q20950	Q95ZY7
Q965X6	Q965F9
Q965F9	P34269
P48727	Q965F9
H2KY58	Q967F4-2
H2KY59	Q967F4-2
H2KY60	Q967F4-2
O18181	Q967F4-2
Q967F4-2	Q19618
Q22703	Q967F4-2
Q9NL29	Q22866
EBI-11464884	Q9GRY9
Q9NL29	G5EC91
Q22866	Q9U2Q9
Q8TA83	Q9NL29
Q9TW45	Q22866
Q9U308	P91820
Q9U308	D0IMZ5
O18181	Q9U308
Q10929	Q9U308
Q9U308	Q22574
Q22703	Q9U308
Q9U308	Q22866
Q9U9Y8	A4UVJ8
Q9U308	Q6A2D2
Q9U308	Q9GRY9
Q9U9Y8	B3WFT8
Q9U9Y8	O45734
P34708	Q9U9Y8
P91820	Q9U9Y8
Q20681	Q9U9Y8
Q9U9Y8	Q17979
Q9U9Y8	Q19749
Q20709	Q9U9Y8
Q9U9Y8	Q21636
Q9U9Y8	Q4JFB7
Q22866	Q9U9Y8
Q23079	Q9U9Y8
Q9U9Y8	Q86MD3
Q9N582	Q9U9Y8
Q9U9Y8	Q9TYS1
Q9U1S2	Q9U9Y8
Q9U290	Q9U9Y8
Q9U9Y8	Q9XWR1
Q9XTZ2	EBI-11464884
EBI-11466975	Q9XVI2
Q9XVI2	P34263
P34428	Q9XVI2
Q9XVI2	Q02328
Q9XVI2	Q21127
Q9XVI2	Q22866
Q304E5	Q9XVI2
Q9U3F4-5	Q9XVI2
Q9XVI2	Q9XZI6-7
EBI-11464884	Q9XVW8
A5JYX3	H2L2I2
Q20010	A5JYX3
Q20010	A5JYX3
A5JYX3	Q9N4L2
A5JYX3	Q9XVU8
Q21952	A5PEX5
P34562	A5PEX5
C1P633	O02328
O02101	C1P633
O02328	C1P633
C1P633	O44548
C1P633	Q03563
C1P633	P13508
C1P633	Q09248
Q20010	C1P633
C1P633	Q17695
Q95Y13	C1P633
Q23158	C1P633
G5EBE3	G5EBK3
G5EBE3	G5EBK3
G5EBK3	G5EFA9
G5EBK3	Q03563
Q18318	G5EBK3
G5EBK3	Q18318
G5EBK3	Q966L6
G5ECQ2	Q9N4L2
G5ECG0	G5ECY0
G5ECY0	G5ECY0
P34574	G5ECY0
Q23158	G5ECY0
G5ECY0	Q9XVU8
G5ECY0	Q8TA83
Q23529	G5ED30
G5ED30	Q23529-4
G5EDK5	P13508
G5EE56	P34562
H2KY90	Q9N4L2
H2KYA1	O18209
H2KYA1	Q09601
P13508	H2KYA1
H2KYA1	Q8TA83
Q23529	H2KYA1
H2KYA1	Q9TYV5
H2KYX3	K8F7T2
H2KYX3	Q03563
H2KZ17	G5ED95
H2KZ17	O44548
H2KZ17	Q19706
P34574	H2KZ17
H2KZ17	Q23158
Q20010	H2KZ17
H2KZ17	Q8TA83
Q8TA83	H2KZ17
H2KZ17	Q9XVU8
H2KZ17	Q8WQC0
Q17695	H2KZV9
Q22747	H2L0Q6
Q17695	H2KZV9
H2L2I2	Q03563
Q95Y84	H2L2I2
H2L2I2	Q9N4L2
O02088	Q9N4L2
G5ECG0	O62090
O62090	G5ECG0
O62090	Q03563
P55853	O62090
Q21443	O62090
Q23158	O62090
O62090	Q9U2Q9
O62090	Q9U2Q9
G5ECG0	P34288-2
P34288-2	E2JKZ0
P34574	P34288-2
P34288-2	O45001
Q21443	P34288-2
Q23158	P34288-2
P34288-2	Q9NAN2
P34288-2	Q9XVU8
P34288-2	Q9XVU8
P54936	G5EBE3
P34331-2	Q18282
P54936	P34808-2
P54936	P13508
P54936	Q03563
Q17796	P54936
P54936	Q17796
P54936	Q23158
P54936	Q9U2D9
P54936	Q9U2D9
Q9U489-2	P54936
Q9XVU8	P54936
Q05062	O01803
Q05062	O17915
Q10666	O61708
Q10666	Q86G90
Q9N4L2	Q10666
P34331	Q17353-2
Q17353-2	Q03563
Q09248	Q17353-2
Q17353-2	Q09248
Q17353-2	Q20010
Q23463	Q17353-2
Q17549	G5ECY0
Q17549	O44548
Q17549	O44191
Q17549	O44548
O76630	Q17549
Q03563	Q17549
Q17549	Q09590
Q17695	Q17549
Q23158	Q17549
Q965F9	Q17549
Q94050	Q17549
Q17549	Q9N4H7
Q17549	Q9XVU8
Q18100	O02115
Q18100	Q19130
Q22038	Q18246
Q23158	Q18825
Q19266	Q9NAN2
Q18825	Q9N4L2
Q19955	G5ECG0
P51875	Q19955
Q19749	Q19955
Q95XZ0	Q19955
Q19955	Q8MQ04
Q20010	EBI-11464884
Q03563	Q21227
Q21227	Q19905
Q21227	Q9N4L2
