interactor_A	interactor_B
Q9STS3	Q852U6
Q9SZZ4	Q852U6
Q9ZUM8	Q852U6
Q6NMB4	Q8GSJ6
Q8GTR9	Q8LAZ7
Q8GTR9	Q9C9L2
F4JN35	Q8GUG6
Q94F58	Q8GUG6
Q8GUG7	Q6NQ80
Q8RWF8	Q8GUG7
F4JCU0	Q8GUG7
Q8GUG7	Q93ZM2
Q8GUG7	Q9CAW9
Q8GUI6	Q9SQX9
Q8GUK3	Q8VZ95
Q93ZY1	Q8GUK3
Q8GUK3	Q94F58
Q8GUK3	Q9FFS0
Q8GUK5	Q9LII8
Q8GUK5	Q9LQT8
Q9SCK1	Q8GUK5
Q8GUK8	Q8GUK8
Q9FFZ0	Q8GUK8
Q8GUK8	Q9M336
Q8GUN3	Q7Y227
Q8GUN4	Q9SIF2
Q8GUP4	O80480
Q700E3	Q8GUP4
Q96331	Q8GUP4
Q8GUP4	Q9ASS9
Q8GUP4	Q9S7W5
Q8L745	Q8GW09
Q700E3	Q8GW24
Q8GWT9	Q8GW24
Q8GW24	Q8H1E5
Q8GW24	Q8L4Q6
Q8W5R5	Q8GW24
Q9FMA3	Q8GW24
Q8GW24	Q9LMJ4
Q8GW24	Q9SCK1
Q8GW31	Q84K25
P42644	Q8GW47
Q8GW47	P48349
Q8GW47	Q01525
Q8GW47	Q8GW47
Q8L7K9	Q8GW47
Q96300	Q8GW47
Q9C8P0	Q8GW49
Q8GW56	Q8L7T4
Q8VZS6	Q8GW56
Q8GW57	Q9SJK5
Q8GW60	Q9LIC6
Q8GW60	Q9SZZ4
F4JN35	Q8GW61
Q8GW61	Q94F58
Q8GW89	Q96331
Q8GWB3	Q93VH1
Q8GWB3	Q9FFS0
Q8GWB3	Q9FZK5
Q8GWC7	Q9SS37
Q8LAZ7	Q8GWD1
Q8H0Z3	Q8GWD1
Q8L3X8	Q8GWD1
Q8L719	Q8GWD1
Q8GWD1	Q8RWN5
Q8GWD1	Q9LKL2
Q8GWD1	Q9S7W5
Q8GWD1	Q9ZUU4
Q8GWH4	O04326
Q8GWH4	Q8GXA4
Q9M339	Q8GWI1
Q9SIP7	Q8GWI1
Q8GWJ6	Q8VZW1
O04326	Q8GWM8
Q94F58	Q8GWM8
Q8GWP3	F4JN35
Q8GWQ2	Q9LVI4
Q8GWQ2	Q9M336
Q9LXJ0	Q8GWR1
Q9SJH7	Q8GWR1
Q8LGS1	Q8GWR2
Q93Z00	Q8GWR2
Q8GWR2	Q9C7N3
Q9C9L2	Q8GWR2
Q9FTA2	Q8GWR2
O82239	Q8GWR3
Q9LU63	Q8GWR3
Q8GWR3	Q9S7W5
Q8GWR3	Q9STS3
Q8GWR9	Q9FVU9
Q9SAK5	Q8GWR9
Q8GWS0	Q93Z00
Q8GWS0	Q96331
O04326	Q8GWT5
Q8GWT5	Q0WV96
Q8VZ95	Q8GWT5
Q8VZW1	Q8GWT5
Q8GWT5	Q94F58
Q9FNC4	Q8GWT5
Q8GWT5	Q9FZK5
Q8H1E5	Q8GWU7
Q8GWU7	Q8L7G9
Q8RXD6	Q8GWU7
Q8GWU7	Q8VZ40
