interactor_A	interactor_B
Q03063	YBR067C
P0CY10	P0CY08
EBI-11701142	Q12383
EBI-12515937	Q12383
EBI-11701142	Q12383
EBI-11701142	Q12383
Q12383	EBI-12515937
Q12383	EBI-11701142
P11746	P0CY08
P38205	EBI-11701537
EBI-11701334	P38205
EBI-11705578	P38205
EBI-11705717	P38205
EBI-11701334	P38205
EBI-11701622	P38205
EBI-11705578	P38205
EBI-11705717	P38205
P38205	EBI-11701537
EBI-11703618	P38205
EBI-12517763	P38205
Q08641	EBI-12518732
Q12499	EBI-10821792
EBI-10821792	P15646
EBI-10821792	Q12460
EBI-10821792	Q08932
EBI-10821792	P46973
EBI-10821792	P38768
EBI-10821792	Q03940
EBI-10821792	Q12464
P46973	Q08932
EBI-10957299	P33322
P33322	EBI-10957299
P33322	EBI-10957299
P28007	EBI-10821788
EBI-10821750	P28007
P53905	EBI-10957299
P47093	EBI-10824938
EBI-10824938	P47093
EBI-10821750	Q07623
EBI-11175111	P20424
EBI-11175111	P20424
EBI-2213511	P17214
P31380	P31380
P31380	P31380
P31380	P31380
P31380	P31380
P31380	P31380
P38181	P39929
Q03281	P39929
P39929	Q03707
P39929	Q04272
Q03281	P38181
P38181	Q03707
P39929	P48582
P39929	Q03281
P52917	Q03281
Q03281	P39929
P39929	P38181
P38181	Q03281
P53939	Q99299
Q99299	Q08229
P25293	Q99299
Q08229	P11433
P29366	Q08229
P11433	Q08229
Q08229	P29366
P29366	P11433
P29366	Q08229
P11433	Q08229
P11433	P13856
Q99299	P53939
Q99299	P19073
Q08229	Q99299
P25293	Q99299
Q08229	P29366
Q08229	P11433
Q08229	P29366
P11433	Q08229
Q99299	P25293
Q99299	Q08229
P53895	P10614
P54074	P10614
P10614	P53983
P54074	P53983
P27637	P27637
P38853	P27637
P50090	P27637
EBI-10821373	P53914
Q06106	P42945
Q06106	P53254
Q06106	EBI-10821373
EBI-10821373	Q06106
EBI-10821555	Q06106
Q06106	EBI-10903441
Q06106	EBI-10903441
EBI-10821373	Q06106
