rt11266	hu13094	mo9400
hu12347	mo15053
rt5507	hu6976
mo12392	rt8794	hu11435
hu11270	rt3861	mo14804
rt15723	hu1119
hu12224	mo4714
rt12060	hu3342	mo12274
rt15503	hu14421
rt14346	mo16209
hu2194	rt1241	mo5396
hu11397	rt13421	mo9771
hu2419	rt6848	mo13287
rt6571	hu3232	mo8065
mo7098	rt1739	hu7239
hu12056	mo10173
rt13123	mo15639
rt10309	mo16928
mo1641	rt5932	hu6377
mo5944	rt2342	hu906
mo3608	rt11135	hu2767
hu14188	rt9816	mo12769
hu2247	mo9365
rt3520	hu9136	mo11284
hu13615	rt10642	mo10743
rt14121	mo16740
hu3720	mo14913
hu15350	rt14124	mo15283
mo12570	rt10882	hu11777
hu17232	mo15704
hu14652	mo14840
rt13725	mo7693
hu1381	mo17240
mo4685	rt2735	hu384
mo5977	rt1829	hu9493
rt14949	hu4578	mo13197
rt13193	hu12670	mo10000
rt1368	mo13302
rt6464	mo6733
rt9441	mo5757
rt7455	hu17721	mo766
rt9886	hu57	mo15231
rt11628	hu11826	mo16113
hu4494	mo16585
mo10654	rt11145
hu1599	rt1569	mo3195
mo14950	rt12434	hu16852
hu15465	mo16875
rt14243	mo15994
mo4230	rt1006	hu3963
hu3719	rt10956	mo5836
hu15950	mo14180
hu16644	mo16426
hu18016	rt14796	mo6995
hu17396	mo16795
hu8330	rt2571	mo8989
mo356	rt3949	hu1529
hu17418	mo15113
rt4475	mo16075
rt13086	mo10343
hu17713	rt1752	mo3493
hu5999	rt6967	mo5412
hu4796	rt13495	mo11643
hu9168	rt5314	mo6756
mo4561	rt14899	hu4694
mo11171	rt8023	hu10312
hu4859	mo16592
mo2484	rt983	hu2992
hu2075	mo7847
hu12836	mo10391
hu4972	mo10086
rt10692	hu15274	mo10811
rt12796	mo17382
mo6858	rt13373	hu10157
mo1383	rt4004	hu12629
rt14664	mo15375
hu6335	rt1527	mo16862
mo6092	hu10765	rt4469
rt2390	hu17603	mo2762
rt10376	mo6002
hu12951	rt10010	mo12251
rt13740	hu9146	mo549
rt731	hu1814	mo1200
rt230	hu981	mo4184
hu2249	mo4117
mo8834	rt5596	hu6760
rt12491	hu3382	mo14218
hu2400	rt1206	mo4064
hu4513	mo10460
rt8337	hu13372
rt8339	hu9657	mo2095
mo1407	rt997
rt14730	mo15014
mo3677	rt2642	hu14931
mo5169	rt8302	hu3516
rt4739	hu4695	mo901
hu12254	rt9509	mo3120
hu353	rt1771	mo6019
mo11942	rt14820	hu17076
rt1328	hu12372	mo4936
mo3508	hu11645	rt7181
rt3178	hu4601	mo8257
hu12493	rt6162	mo14141
rt12026	hu7678	mo13217
hu17756	mo13798
hu6118	mo5480
hu17375	mo15945
hu16119	rt5646
hu13843	rt7504	mo5873
rt797	hu1906	mo3160
rt2658	hu11117	mo3337
hu5770	rt5427	mo3320
mo9362	rt5792
rt14952	mo14908
hu1685	mo233
hu17445	mo15777
hu12542	mo14471
mo3708	rt11410	hu3376
hu2331	mo1319
rt14312	mo16544
hu15211	mo231
rt11888	hu8560	mo3339
rt13851	mo5972
rt10706	mo16794
mo6600	rt3094	hu4102
mo3271	rt7634	hu10274
hu14761	mo11141
mo15254	rt13318	hu15773
rt13864	hu13909	mo9222
hu14866	rt12058	mo15663
rt5346	hu5230	mo4454
hu15324	mo16265
hu16414	rt13337	mo16306
hu12633	mo14674
hu13338	mo9598
rt12083	mo13803
hu15741	rt12207	mo14260
mo10516	rt10886	hu10661
hu2664	rt2876	mo5523
hu15033	mo15555
rt2724	hu3824	mo10925
hu9748	mo11111
rt14172	hu13295	mo5234
rt11788	hu7049	mo10918
hu16254	mo11678
hu2451	mo3379
hu9080	rt13656	mo11297
rt2875	hu6093	mo164
hu11529	mo6711
hu15073	mo13265
rt11366	hu14321	mo426
hu10039	mo15316
rt10763	hu9294	mo14816
hu14957	mo13198
rt15252	mo16011
rt14070	hu12361	mo10219
mo2468	hu8013	rt12035
hu512	rt6359	mo10547
mo13388	rt11163	hu5943
mo8028	rt8928	hu15371
mo8925	rt6766	hu4586
hu4717	rt6718	mo1084
hu6887	rt5180	mo4579
rt5567	hu13815	mo11021
hu17791	mo13970
hu1985	mo15183
hu17053	mo16463
hu174	rt9516	mo5116
rt11104	hu14965	mo17419
mo5023	rt6566	hu6864
rt8292	hu5166	mo9850
rt1614	hu2736	mo1381
rt9165	hu8121	mo6672
hu1532	rt5473	mo5061
hu17999	mo7444
rt3983	hu2044	mo3261
rt15362	hu14810	mo16753
hu9184	mo8945
mo10326	rt11369	hu2681
hu15136	mo15303
hu5954	mo240
rt4206	hu12481	mo14708
rt10534	hu211	mo14137
hu11083	rt4968	mo8703
mo3533	rt4268	hu10451
rt4295	hu7519	mo8905
mo5279	rt1988	hu5229
hu17131	mo16087
hu4053	rt2259	mo9111
hu10659	mo2094
rt8593	hu8876	mo6698
rt11227	hu11221	mo8419
hu4588	mo11469
hu11614	rt10811	mo8073
mo10244	rt12991	hu16624
mo1379	rt3613	hu4804
hu17297	mo10414
hu6267	rt6966	mo12196
hu7251	mo14731
rt13022	hu15959	mo16664
hu8777	rt10679	mo6886
mo13126	rt13955	hu9985
hu11371	mo16203
hu12092	mo12709
hu14329	mo9328
mo2621	rt8273	hu4587
mo493	rt1025	hu813
