rt8499	hu9871	mo4175
rt14136	hu7833	mo6244
mo240	hu5954
mo12296	hu3519
rt2488	hu14639
rt6456	hu4571	mo16290
rt3163	hu7715	mo211
mo14251	hu13720	rt14846
rt6973	hu9394	mo10272
rt4691	hu7426	mo1871
mo2153	hu6897
hu4492	mo3310	rt20
mo15956	hu3557
hu1896	mo7919	rt14544
rt4173	hu2788	mo5030
rt15366	mo10802
rt4424	hu16299	mo14082
rt6291	hu6234	mo1935
rt8500	hu12677
hu14759	mo11148
hu7096	mo221	rt9322
mo1881	hu1601	rt12356
rt9588	hu1132	mo1347
rt3136	hu4592	mo1859
rt5094	hu10427	mo7755
rt10821	hu12330	mo10557
mo14762	hu11875
mo10964	hu12346	rt6788
hu1674	mo1204	rt1250
rt13998	mo16738
mo1411	hu29
mo16070	hu15402
rt8958	hu7990	mo9904
rt6976	hu15703	mo16954
hu9531	mo5792	rt11651
rt1034	hu7890	mo17357
rt8567	hu14958	mo15579
rt15170	hu16875
mo9226	hu13449	rt9898
rt9810	hu10978	mo4063
hu2421	mo254	rt542
mo4279	hu13367	rt15510
mo1961	hu529	rt769
rt7466	hu2696	mo13972
mo16572	hu14642
mo5784	hu946
mo8080	hu12550
rt9904	hu12455	mo149
mo5199	hu5185
mo15182	hu14882	rt15477
mo13417	hu12009	rt4583
hu2510	mo2201	rt317
mo595	hu5175	rt1964
hu4050	mo12393	rt12492
rt3872	hu2362	mo726
rt12647	hu12665
mo4132	hu10864
rt11252	hu15866	mo12335
mo12979	hu15286
hu15391	mo15134	rt11281
hu12376	mo8884	rt4010
mo15090	hu16477	rt14601
mo484	hu7424	rt3592
mo9763	hu9587	rt11751
mo13644	hu16634	rt12597
rt13123	mo15639
mo2185	hu9153	rt3648
hu15575	rt2037	mo14205
hu16853	mo13652
hu6217	mo12896	rt12738
mo16255	hu15454
hu12191	mo6189	rt9769
hu8689	mo3140	rt2119
rt15349	mo16002
mo12136	hu14964	rt11898
rt14885	mo13158
mo11060	hu502	rt8566
rt6612	hu7804	mo11657
hu13577	mo12551	rt11092
mo3021	hu12925	rt6673
rt10244	hu9883	mo4628
mo15422	rt14055
rt646	hu4000	mo1817
mo3025	hu2503
rt7877	hu9775	mo6913
mo7155	hu3458	rt2435
mo15291	hu13986
hu8365	mo5752	rt13413
mo10160	hu13676
mo16308	rt15092
hu5643	mo7453
rt1630	hu8752	mo3861
hu4438	mo11658	rt11498
hu11598	mo5932	rt13136
mo9381	hu6129	rt3019
mo13933	hu12980	rt13145
mo9679	hu11624
rt14814	hu13101	mo12119
hu12998	mo11191	rt11654
hu607	mo49	rt763
hu14981	mo13103	rt13493
hu9697	mo13303	rt11636
hu17603	mo2762
rt5859	hu2304	mo5221
mo12289	hu10954	rt15043
mo16302	hu16087
mo15064	hu1897
rt12294	hu16750	mo13672
rt616	hu24	mo5256
mo14488	hu7344
mo12194	rt9531	hu9451
mo15601	hu10605
hu7577	mo6480	rt7453
mo7898	hu15072
mo7049	hu12014	rt7303
rt4891	hu1330	mo4325
hu11463	mo7299	rt12474
mo11361	hu1836
hu14616	mo14960	rt13890
rt9084	mo12408
rt11481	hu9566	mo11090
hu2760	mo9216	rt1378
rt193	hu16850
mo15682	hu16086
mo16562	hu17941	rt12696
mo5711	hu2150	rt1372
rt1503	hu16485	mo13660
mo6728	hu17647
rt15337	mo15726
mo14405	rt8887
mo17413	rt1243
rt12894	hu15006
rt845	hu9861	mo10496
mo14728	hu13156	rt1905
mo16872	hu16545
rt5015	hu11162	mo7427
mo13504	hu17728
rt7196	hu2234	mo2911
mo17215	hu13808
rt10270	hu8670	mo10512
rt13459	hu14407	mo15026
rt10703	mo14247
mo151	hu1137
mo4803	hu741	rt3186
mo16139	hu17550
mo12900	hu16065
hu8222	mo5050	rt3934
hu2352	mo10254	rt3891
rt8716	hu9979	mo5988
hu3814	mo15714
mo8179	hu3450	rt8552
hu1323	mo7144
rt11003	hu14782
mo15488	hu998
mo16797	hu14955	rt14654
hu1446	mo3691	rt6455
hu1935	mo2048	rt3760
mo16839	hu14732
hu3916	mo2461	rt5895
rt12390	hu11626	mo4107
hu3898	mo2763	rt14508
hu4792	mo2191	rt4880
mo11802	hu10983
mo11151	hu16581
mo16667	hu17957
hu5269	mo2786	rt627
rt4177	hu5234	mo4721
hu6171	mo7129	rt2373
hu2330	mo706	rt15565
rt14706	hu13713
rt14496	hu16383	mo13361
rt4695	hu7274	mo8064
rt13649	hu6560	mo11463
hu15449	mo12515	rt10026
mo10285	hu10734	rt2949
hu10670	mo9621	rt10622
mo217	hu13276	rt648
mo4067	hu6635	rt3089
mo10691	hu12213	rt11840
mo9902	hu11856	rt7748
mo5236	hu1193	rt5611
rt15105	mo15436
hu10495	mo10890	rt4148
hu9776	mo3659	rt2977
hu12580	mo9052	rt6041
rt4869	hu8756	mo9382
mo229	hu4623	rt7437
mo4681	hu14454	rt10113
rt3246	mo9868
mo8487	hu13871	rt11168
rt1079	hu623	mo2568
hu14874	mo14662	rt13020
hu9603	mo9467	rt6319
hu11370	mo7614	rt2998
mo13533	hu17284
mo13279	hu4098	rt10043
mo11837	hu13063
mo4037	hu2707	rt5386
rt14155	hu17625
mo15046	hu16573	rt15147
hu7477	mo2497	rt6539
mo13599	hu17204	rt10370
mo11399	hu13664
rt242	hu544	mo4288
mo13512	hu11001
